Server ID,Sponsor,Server Name,Server Lat,Server Lon,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T19:06:12.304921Z,1074.803087949815,50.156,233010820.2648219,118350746.25463994,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:12:18.976634Z,954.28807465132,46.237,74415688.82301475,80820014.04620214,,177.97.170.228
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T19:18:25.253636Z,1074.803087949815,55.753,164575350.5045877,105527909.10536353,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:24:40.977789Z,954.28807465132,50.208,88189802.13733885,120540613.02738222,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:30:49.514187Z,954.28807465132,47.721,69712703.53533073,95438613.08391836,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:37:07.827375Z,954.28807465132,46.306,63664224.2908734,79866733.82801951,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:43:15.213219Z,954.28807465132,52.435,82898070.6803111,118023969.591653,,177.97.170.228
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T19:49:27.747721Z,1074.803087949815,56.099,204017248.1589736,135672928.23938045,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T19:55:53.665820Z,954.28807465132,49.347,84888509.91841793,111138105.31224212,,177.97.170.228
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T20:02:09.995609Z,1074.803087949815,55.744,126359198.21902423,112122469.85504244,,177.97.170.228
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T20:08:28.150606Z,1074.803087949815,50.741,140128138.96150237,119054927.992174,,177.97.170.228
59921,DABLIUTECH FIBRA,Aurora do Tocantins,-12.7128,-46.4082,2026-08-14T20:14:35.957937Z,954.28807465132,47.234,60128044.428358406,90496933.41194527,,177.97.170.228
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T20:20:49.657074Z,1074.803087949815,52.683,137338457.2813646,119931355.59161608,,177.97.170.228
35510,JMA FIBRA,Dianópolis,-11.626,-46.8202,2026-08-14T20:26:53.996961Z,1074.803087949815,50.893,139398452.62892374,117059127.54623255,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T20:33:27.559701Z,1977.4176611562675,52.932,228392746.28767538,123164821.05851884,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T20:39:45.572985Z,1977.4176611562675,53.32,288427064.5172288,108336702.06699651,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T20:46:11.882376Z,1977.4176611562675,57.259,245260858.99358404,119997005.62540126,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T20:52:26.743610Z,1977.4176611562675,52.389,255374603.54512805,140950629.72856343,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T20:58:50.895347Z,1977.4176611562675,51.92,147311639.79418764,119360556.176205,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:05:16.044284Z,1977.4176611562675,51.686,276166099.5010348,135076218.63187692,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:11:27.619078Z,1977.4176611562675,52.841,290208053.314665,122227931.84696768,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:17:52.121728Z,1977.4176611562675,51.356,298383937.66889393,120998412.07893889,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:23:54.032343Z,1977.4176611562675,52.467,127514175.11463109,130364086.64046718,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:30:31.536969Z,1977.4176611562675,52.471,215298425.79436317,119774140.82948583,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:36:54.379110Z,1977.4176611562675,52.57,303379452.95290005,142106416.4935367,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:43:10.873528Z,1977.4176611562675,51.0,181701624.85874727,113978464.72438574,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:49:22.900529Z,1977.4176611562675,50.729,250744360.1761641,134333493.56691578,,177.97.170.228
58432,Telecentro,Tucumán,-26.8083,-65.2176,2026-08-14T21:55:34.378032Z,1977.4176611562675,50.718,300712277.6683849,153519929.47383595,,177.97.170.228
